543.00,0.96,
543.00,0.97,
544.00,0.97,
544.00,0.98,
543.00,0.99,
543.00,0.99,
544.00,1.00,
544.00,1.00,
543.00,1.01,
544.00,1.02,
544.00,1.02,
543.00,1.03,
544.00,1.03,
544.00,1.04,
544.00,1.05,
543.00,1.05,
544.00,1.06,
544.00,1.06,
543.00,1.07,
543.00,1.08,
544.00,1.08,
543.00,1.09,
543.00,1.09,
543.00,1.10,
544.00,1.11,
543.00,1.11,
543.00,1.12,
543.00,1.12,
544.00,1.13,
543.00,1.14,
543.00,1.14,
544.00,1.15,
543.00,1.15,
543.00,1.16,
544.00,1.17,
544.00,1.17,
543.00,1.18,
543.00,1.18,
544.00,1.19,
544.00,1.20,
542.00,1.20,
543.00,1.21,
544.00,1.21,
543.00,1.22,
543.00,1.23,
544.00,1.23,
544.00,1.24,
544.00,1.24,
544.00,1.25,
544.00,1.26,
543.00,1.26,
544.00,1.27,
545.00,1.27,
544.00,1.28,
543.00,1.29,
544.00,1.29,
544.00,1.30,
543.00,1.30,
543.00,1.31,
544.00,1.32,
543.00,1.32,
543.00,1.33,
544.00,1.33,
544.00,1.34,
543.00,1.35,
543.00,1.35,
543.00,1.36,
544.00,1.36,
543.00,1.37,
543.00,1.38,
544.00,1.38,
543.00,1.39,
543.00,1.39,
543.00,1.40,
544.00,1.40,
543.00,1.41,
544.00,1.42,
540.00,1.42,
543.00,1.43,
543.00,1.43,
543.00,1.44,
544.00,1.45,
544.00,1.45,
542.00,1.46,
544.00,1.47,
544.00,1.47,
543.00,1.48,
543.00,1.48,
544.00,1.49,
544.00,1.50,
543.00,1.50,
543.00,1.51,
544.00,1.51,
543.00,1.52,
543.00,1.52,
544.00,1.53,
543.00,1.54,
543.00,1.54,
543.00,1.55,
544.00,1.55,
543.00,1.56,
543.00,1.57,
544.00,1.57,
543.00,1.58,
543.00,1.59,
543.00,1.59,
543.00,1.60,
543.00,1.60,
543.00,1.61,
544.00,1.61,
543.00,1.62,
543.00,1.63,
543.00,1.63,
544.00,1.64,
543.00,1.65,
543.00,1.65,
543.00,1.66,
544.00,1.66,
543.00,1.67,
543.00,1.67,
544.00,1.68,
543.00,1.69,
543.00,1.69,
544.00,1.70,
544.00,1.70,
543.00,1.71,
543.00,1.72,
544.00,1.72,
544.00,1.73,
544.00,1.74,
544.00,1.74,
544.00,1.75,
544.00,1.75,
543.00,1.76,
545.00,1.76,
545.00,1.77,
544.00,1.78,
544.00,1.78,
544.00,1.79,
545.00,1.79,
544.00,1.80,
544.00,1.81,
545.00,1.81,
543.00,1.82,
544.00,1.82,
545.00,1.83,
544.00,1.84,
544.00,1.84,
545.00,1.85,
545.00,1.86,
544.00,1.86,
544.00,1.87,
544.00,1.87,
544.00,1.88,
544.00,1.88,
544.00,1.89,
545.00,1.90,
544.00,1.90,
544.00,1.91,
545.00,1.91,
545.00,1.92,
544.00,1.93,
544.00,1.93,
545.00,1.94,
545.00,1.94,
544.00,1.95,
544.00,1.96,
545.00,1.96,
544.00,1.97,
545.00,1.98,
545.00,1.98,
545.00,1.99,
544.00,1.99,
545.00,2.00,
545.00,2.00,
544.00,2.01,
544.00,2.02,
544.00,2.02,
544.00,2.03,
545.00,2.03,
543.00,2.04,
545.00,2.05,
544.00,2.05,
543.00,2.06,
545.00,2.06,
544.00,2.07,
544.00,2.08,
543.00,2.08,
545.00,2.09,
545.00,2.09,
544.00,2.10,
545.00,2.11,
544.00,2.11,
544.00,2.12,
543.00,2.12,
545.00,2.13,
544.00,2.14,
544.00,2.14,
544.00,2.15,
545.00,2.15,
543.00,2.16,
543.00,2.17,
545.00,2.17,
544.00,2.18,
544.00,2.18,
544.00,2.19,
545.00,2.20,
544.00,2.20,
544.00,2.21,
545.00,2.21,
544.00,2.22,
543.00,2.23,
543.00,2.23,
543.00,2.24,
542.00,2.24,
541.00,2.25,
542.00,2.26,
541.00,2.26,
541.00,2.27,
542.00,2.27,
542.00,2.28,
542.00,2.29,
543.00,2.29,
544.00,2.30,
544.00,2.30,
544.00,2.31,
544.00,2.32,
545.00,2.32,
545.00,2.33,
545.00,2.33,
545.00,2.34,
545.00,2.35,
545.00,2.35,
545.00,2.36,
545.00,2.36,
545.00,2.37,
544.00,2.38,
544.00,2.38,
545.00,2.39,
545.00,2.39,
544.00,2.40,
545.00,2.41,
545.00,2.41,
544.00,2.42,
543.00,2.42,
544.00,2.43,
543.00,2.44,
542.00,2.44,
543.00,2.45,
543.00,2.45,
542.00,2.46,
542.00,2.47,
